Trying seed 0
12400000 enq, 10949 curr, 27 best, 887.13 s
12500000 enq, 8576 curr, 27 best, 897.02 s
12600000 enq, 9047 curr, 27 best, 906.11 s
12700000 enq, 12819 curr, 27 best, 912.94 s
12800000 enq, 14909 curr, 27 best, 920.35 s
12900000 enq, 9558 curr, 27 best, 927.98 s
13000000 enq, 25509 curr, 27 best, 937.53 s
13100000 enq, 16061 curr, 27 best, 946.31 s
13200000 enq, 8023 curr, 27 best, 955.06 s
13300000 enq, 9185 curr, 27 best, 965.58 s
13400000 enq, 8180 curr, 27 best, 974.61 s
13500000 enq, 12791 curr, 27 best, 985.07 s
13600000 enq, 8395 curr, 27 best, 997.39 s
13700000 enq, 10734 curr, 27 best, 1006.35 s
13800000 enq, 13699 curr, 27 best, 1015.09 s
13900000 enq, 14423 curr, 27 best, 1025.04 s
14000000 enq, 15593 curr, 27 best, 1031.72 s
14100000 enq, 18152 curr, 27 best, 1040.10 s
14200000 enq, 22800 curr, 27 best, 1048.64 s
14300000 enq, 18794 curr, 27 best, 1057.40 s
14400000 enq, 10945 curr, 27 best, 1068.07 s
14500000 enq, 12622 curr, 27 best, 1074.96 s
14600000 enq, 12792 curr, 27 best, 1082.37 s
14700000 enq, 10576 curr, 27 best, 1092.74 s
14800000 enq, 13065 curr, 27 best, 1100.38 s
14900000 enq, 29641 curr, 27 best, 1108.13 s
15000000 enq, 31417 curr, 27 best, 1118.90 s
15100000 enq, 30408 curr, 27 best, 1130.32 s
15200000 enq, 43999 curr, 27 best, 1137.93 s
15300000 enq, 49964 curr, 27 best, 1146.00 s
15400000 enq, 55176 curr, 27 best, 1156.04 s
15500000 enq, 61335 curr, 27 best, 1165.96 s
15600000 enq, 65458 curr, 27 best, 1175.39 s
15700000 enq, 79784 curr, 27 best, 1186.22 s
15800000 enq, 105488 curr, 27 best, 1192.17 s
15900000 enq, 122636 curr, 27 best, 1200.38 s
16000000 enq, 150979 curr, 27 best, 1207.70 s
16100000 enq, 174429 curr, 27 best, 1218.37 s
16200000 enq, 176513 curr, 27 best, 1253.91 s
16300000 enq, 178978 curr, 27 best, 1268.72 s
16400000 enq, 178348 curr, 27 best, 1277.56 s
16500000 enq, 176767 curr, 27 best, 1286.53 s
16600000 enq, 176179 curr, 27 best, 1293.71 s
16700000 enq, 178288 curr, 27 best, 1301.89 s
16800000 enq, 177790 curr, 27 best, 1317.70 s
16900000 enq, 177723 curr, 27 best, 1327.21 s
17000000 enq, 175993 curr, 27 best, 1336.52 s
17100000 enq, 173329 curr, 27 best, 1345.12 s
17200000 enq, 174981 curr, 27 best, 1354.60 s
17300000 enq, 174000 curr, 27 best, 1367.49 s
17400000 enq, 174728 curr, 27 best, 1375.54 s
17500000 enq, 174116 curr, 27 best, 1385.23 s
17600000 enq, 171150 curr, 27 best, 1394.50 s
17700000 enq, 169946 curr, 27 best, 1402.97 s
17800000 enq, 169699 curr, 27 best, 1411.65 s
17900000 enq, 169510 curr, 27 best, 1419.96 s
18000000 enq, 168475 curr, 27 best, 1442.96 s
18100000 enq, 167016 curr, 27 best, 1453.83 s
18200000 enq, 149282 curr, 27 best, 1464.38 s
18300000 enq, 136685 curr, 27 best, 1473.45 s
18400000 enq, 135540 curr, 27 best, 1484.11 s
